排行,證券名稱,,市值佔 大盤比重,排行,證券名稱,,市值佔 大盤比重
396,2010,春源,0.0215%,850,2358,廷鑫,0.0031%
397,1712,興農,0.0214%,851,2611,志信,0.0031%
398,1203,味王,0.0213%,852,3002,歐格,0.0031%
399,5203,訊連,0.0213%,853,5906,台南-KY,0.0031%
400,3698,隆達,0.0213%,854,6405,悅城,0.0031%
401,1560,中砂,0.0211%,855,4581,光隆精密-KY,0.0031%
402,2597,潤弘,0.021%,856,3550,聯穎,0.003%
403,6605,帝寶,0.021%,857,9929,秋雨,0.003%
404,9924,福興,0.0209%,858,2911,麗嬰房,0.003%
405,2535,達欣工,0.0209%,859,1727,中華化,0.003%
406,6581,鋼聯,0.0208%,860,2516,新建,0.0029%
407,3669,圓展,0.0208%,861,4807,日成-KY,0.0029%
408,5215,科嘉-KY,0.0208%,862,6573,虹揚-KY,0.0029%
409,3090,日電貿,0.0207%,863,8033,雷虎,0.0029%
410,2107,厚生,0.0207%,864,4562,穎漢,0.0027%
411,3022,威強電,0.0206%,865,2496,卓越,0.0027%
412,5234,達興材料,0.0205%,866,2471,資通,0.0027%
413,4977,眾達-KY,0.0204%,867,1776,展宇,0.0027%
414,2464,盟立,0.0204%,868,1454,台富,0.0026%
415,1558,伸興,0.0204%,869,2380,虹光,0.0026%
416,9926,新海,0.0202%,870,9902,台火,0.0026%
417,3056,總太,0.0201%,871,8488,吉源-KY,0.0025%
418,2617,台航,0.02%,872,2465,麗臺,0.0025%
419,1321,大洋,0.02%,873,1592,英瑞-KY,0.0025%
420,4994,傳奇,0.02%,874,2033,佳大,0.0024%
421,1231,聯華食,0.0199%,875,6133,金橋,0.0024%
422,4104,佳醫,0.0196%,876,6243,迅杰,0.0024%
423,8499,鼎炫-KY,0.0195%,877,6226,光鼎,0.0023%
424,2536,宏普,0.0194%,878,1732,毛寶,0.0023%
425,6024,群益期,0.0193%,879,2468,華經,0.0023%
426,2910,統領,0.0192%,880,3057,喬鼎,0.0022%
427,2530,華建,0.0191%,881,1441,大東,0.0022%
428,1608,華榮,0.0191%,882,8222,寶一,0.0022%
429,3557,嘉威,0.0191%,883,6172,互億,0.0021%
430,5283,禾聯碩,0.0191%,884,3432,台端,0.0021%
431,8215,明基材,0.019%,885,3494,誠研,0.0021%
432,6115,鎰勝,0.0189%,886,8940,新天地,0.0021%
433,3645,達邁,0.0189%,887,1453,大將,0.0021%
434,3059,華晶科,0.0188%,888,1413,宏洲,0.0021%
435,2397,友通,0.0187%,889,2491,吉祥全,0.0021%
436,6525,捷敏-KY,0.0187%,890,1805,寶徠,0.002%
437,2450,神腦,0.0184%,891,2236,百達-KY,0.002%
438,1795,美時,0.0183%,892,5484,慧友,0.002%
439,1447,力鵬,0.0181%,893,1324,地球,0.0019%
440,2472,立隆電,0.0181%,894,3308,聯德,0.0018%
441,3015,全漢,0.0181%,895,3011,今皓,0.0018%
442,3679,新至陞,0.0181%,896,3593,力銘,0.0018%
443,8028,昇陽半導體,0.018%,897,6164,華興,0.0018%
444,6224,聚鼎,0.018%,898,8443,阿瘦,0.0017%
